BGG_ID,DESIGNER_ID,DESIGNER_NAME,DESIGNER_POB_CITY,DESIGNER_POB_ST-PROV,DESIGNER_POB_CTRY
314491,89488,Klemens Kalicki,,,PL
410201,155573,Connie Vogelmann,Washington D.C.,Washington D.C.,US
155426,6046,Ted Alspach,Louisville,TN,US
199561,88370,Adrian Adamescu,Kitchener,ON,CA
199561,67502,Daryl Andrews,Waterloo,ON,CA
282524,102313,Prospero Hall,Seattle,WA,US
17133,1115,Glenn Drover,Chicago,IL,US
128882,11906,Don Eskridge,Stillwater,OK,US
242302,57723,John D. Clair,Los Angeles,CA,US
338960,113802,Gary Dworetsky,Los Angeles,CA,US
338960,140388,Anthony Giovannetti,Seattle,WA,US
338960,140389,Casey Yano,Seattle,WA,US
300531,92425,Peter Rustemeyer,,,DE
171131,285,Roberto Fraga,Saint-Malo,,FR
171131,43218,Yohan Lemonnier,Saint-Malo,,FR
150376,12679,Jonathan Gilmour-Long,Columbus,OH,US
150376,65023,Isaac Vega,Plano,TX,US
822,398,Klaus-Jürgen Wrede,Meschede,,DE
293014,295,Serge Laget,Avignon,,FR
215,172,Urs Hostettler,Bern,,
299659,7614,Christian Marcussen,Copenhagen,,DK
91,484,Ted Raicer,,NJ,US
306735,9217,Tomáš Uhlíř,,,CZ
256680,88714,Tim Burrell-Saward,Sunrise,FL,US
256680,75911,Noah Cohen,Sunrise,FL,US
256680,80920,Brian Neff,Philadelphia,PA,US
126042,37300,Rustan Håkansson,Norrkoping,,SE
126042,60882,Nina Håkansson,Norrkoping,,SE
126042,60883,Einar Rosén,Norrkoping,,SE
126042,60884,Robert Rosén,Norrkoping,,SE
7854,244,Kris Burm,Antwerp,,BE
283155,117880,Kevin Russ,Portland,OR,US
54998,4337,Ludovic Maublanc,,,FR
221194,58135,Brian Lewis,Lansing,MI,US
